ID	HC10	HC11	HC12	HC14	HC15	HC16	HC17	HC18	HC19	HC1	HC21	HC22	HC23	HC24	HC25	HC2	HC3	HC4	HC5	HC6	HC7	HC8	Patient10	Patient11	Patient12	Patient13	Patient14	Patient15	Patient16	Patient17	Patient20	Patient23	Patient24	Patient26	Patient27	Patient28	Patient29	Patient30	Patient31	Patient32	Patient33	Patient34	Patient35	Patient37	Patient38	Patient39	Patient3	Patient40	Patient44	Patient47	Patient49	Patient4	Patient50	Patient51	Patient52	Patient5	Patient6	Patient7	Patient8	Patient9	KEGG_Pathways
Pyruvate metabolism	335090.0	380525.0	398861.0	485795.0	520298.0	610175.0	553483.0	538769.0	355585.0	336958.0	576337.0	515419.0	909619.0	401598.0	541355.0	517940.0	604269.0	918775.0	653056.0	592293.0	700753.0	418589.0	584017.0	582182.0	548610.0	464521.0	427924.0	683674.0	658477.0	801290.0	385821.0	1250905.0	367519.0	1380464.0	396625.0	611591.0	518241.0	521872.0	582420.0	558272.0	879724.0	434380.0	665212.0	776817.0	428762.0	610108.0	473041.0	427317.0	408392.0	361322.0	580208.0	534230.0	525169.0	637163.0	486221.0	282840.0	440045.0	491840.0	652708.0	417089.0	Metabolism; Carbohydrate Metabolism; Pyruvate metabolism
RIG-I-like receptor signaling pathway	136.0	431.0	1341.0	503.0	530.0	392.0	293.0	428.0	291.0	74.0	1229.0	235.0	471.0	362.0	477.0	670.0	696.0	872.0	2079.0	413.0	1805.0	670.0	1178.0	1385.0	883.0	632.0	483.0	1026.0	1728.0	248.0	539.0	815.0	90.0	2038.0	499.0	940.0	769.0	439.0	349.0	482.0	753.0	847.0	499.0	1289.0	1166.0	1865.0	1151.0	799.0	439.0	261.0	383.0	469.0	190.0	537.0	2468.0	142.0	540.0	444.0	1989.0	565.0	Organismal Systems; Immune System; RIG-I-like receptor signaling pathway
RNA degradation	198529.0	177231.0	182489.0	210956.0	246585.0	326701.0	250778.0	277107.0	169110.0	174808.0	281924.0	251981.0	396569.0	227124.0	273272.0	229757.0	283186.0	456427.0	256852.0	230461.0	310080.0	216674.0	218331.0	262024.0	243869.0	210653.0	214702.0	336125.0	308835.0	245382.0	211170.0	352719.0	173591.0	391540.0	198757.0	270860.0	234099.0	227012.0	240781.0	227885.0	305930.0	195364.0	308589.0	281322.0	176740.0	239690.0	205746.0	236911.0	194797.0	165439.0	253447.0	255027.0	238164.0	288693.0	239761.0	114510.0	195579.0	211795.0	260131.0	213242.0	Genetic Information Processing; Folding, Sorting and Degradation; RNA degradation
RNA polymerase	66849.0	63692.0	68418.0	74892.0	77997.0	90099.0	80343.0	88013.0	54628.0	45180.0	86886.0	74531.0	90725.0	72604.0	79812.0	78980.0	85718.0	112550.0	82692.0	71668.0	109976.0	76830.0	83881.0	93062.0	82292.0	65767.0	96243.0	98141.0	106946.0	115056.0	87795.0	94161.0	56887.0	122441.0	74529.0	98466.0	84019.0	70469.0	61265.0	67146.0	87655.0	67441.0	103851.0	121750.0	53376.0	87851.0	82853.0	87162.0	82362.0	54565.0	83571.0	101904.0	76604.0	76452.0	89037.0	31296.0	61596.0	75251.0	91961.0	82920.0	Genetic Information Processing; Transcription; RNA polymerase
RNA transport	52509.0	50658.0	54163.0	56441.0	67739.0	100820.0	72558.0	71607.0	52346.0	56620.0	81631.0	78550.0	146739.0	75456.0	80367.0	55205.0	93994.0	162142.0	86099.0	61352.0	108886.0	42424.0	72181.0	92103.0	73245.0	55223.0	27378.0	111986.0	72399.0	87780.0	22209.0	103921.0	45207.0	125739.0	28183.0	80788.0	55929.0	60072.0	79440.0	70282.0	95793.0	51190.0	92907.0	56706.0	54170.0	65728.0	53822.0	59295.0	35050.0	46077.0	75056.0	51586.0	69403.0	87386.0	67356.0	35763.0	56151.0	55854.0	69894.0	32386.0	Genetic Information Processing; Translation; RNA transport
Regulation of actin cytoskeleton	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	3.0	1.0	1.0	3.0	3.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	4.0	3.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	3.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	2.0	3.0	3.0	Cellular Processes; Cell Motility; Regulation of actin cytoskeleton
Renal cell carcinoma	2624.0	2481.0	2048.0	1509.0	1744.0	490.0	2723.0	591.0	1590.0	741.0	1858.0	991.0	915.0	552.0	1837.0	1990.0	1766.0	1039.0	3591.0	3733.0	3057.0	2041.0	3074.0	1560.0	1494.0	1401.0	1228.0	458.0	3693.0	3352.0	1687.0	18392.0	1149.0	18970.0	2916.0	2920.0	1629.0	8523.0	5840.0	1696.0	11142.0	3904.0	4272.0	666.0	7867.0	4900.0	2455.0	9092.0	1541.0	2237.0	2646.0	2082.0	1939.0	1054.0	1029.0	6910.0	4742.0	2033.0	4531.0	1914.0	Human Diseases; Cancers; Renal cell carcinoma
Renin-angiotensin system	3.0	12.0	12.0	6.0	15.0	7.0	24.0	8.0	10.0	0.0	60.0	16.0	44.0	13.0	12.0	32.0	42.0	21.0	47.0	6.0	55.0	37.0	50.0	64.0	53.0	51.0	65.0	14.0	66.0	26.0	31.0	30.0	28.0	42.0	45.0	20.0	54.0	59.0	36.0	19.0	18.0	20.0	27.0	24.0	36.0	51.0	63.0	38.0	20.0	4.0	46.0	50.0	17.0	17.0	19.0	27.0	58.0	86.0	69.0	61.0	Organismal Systems; Endocrine System; Renin-angiotensin system
Replication, recombination and repair proteins	303423.0	314229.0	309805.0	361455.0	386269.0	483455.0	433287.0	434314.0	305376.0	264623.0	434077.0	428408.0	691909.0	417504.0	440963.0	378478.0	476318.0	725607.0	461901.0	438702.0	574693.0	363070.0	440748.0	496662.0	446108.0	333491.0	326404.0	535581.0	540434.0	509005.0	377342.0	698563.0	348522.0	807726.0	377215.0	467920.0	411827.0	463526.0	484504.0	414906.0	629985.0	380341.0	635407.0	479729.0	422933.0	435909.0	392226.0	403945.0	326528.0	297156.0	496665.0	436246.0	431061.0	472315.0	468760.0	305843.0	382260.0	344950.0	477005.0	382322.0	Unclassified; Genetic Information Processing; Replication, recombination and repair proteins
Restriction enzyme	89868.0	74548.0	75939.0	114078.0	114000.0	133830.0	115119.0	104151.0	71177.0	70875.0	102416.0	124165.0	185578.0	113388.0	126740.0	106506.0	113959.0	175511.0	127469.0	108542.0	90807.0	81869.0	101102.0	107607.0	104804.0	100620.0	42503.0	126452.0	113096.0	119733.0	60965.0	158510.0	89172.0	171174.0	76671.0	90935.0	101691.0	77536.0	99905.0	96553.0	117777.0	79674.0	39481.0	125836.0	59831.0	87689.0	83920.0	83162.0	67315.0	66457.0	90885.0	72796.0	109174.0	136159.0	69909.0	27155.0	80148.0	98690.0	101531.0	73163.0	Unclassified; Genetic Information Processing; Restriction enzyme
